stock_code,stock_name,market,report_type,report_year,first_appointment_date,first_change_date,second_change_date,third_change_date,actual_disclosure_date,stat_date
600020,中原高速,沪市,半年报（中报）,2026,2026-08-01,2026-08-15,,,,2026-08-15
600351,亚宝药业,沪市,半年报（中报）,2026,2026-08-01,,,,,2026-08-01
603058,永吉股份,沪市,半年报（中报）,2026,2026-08-01,,,,,2026-08-01
605507,国邦医药,沪市,半年报（中报）,2026,2026-08-01,,,,,2026-08-01
688005,容百科技,沪市,半年报（中报）,2026,2026-08-01,2026-08-25,,,,2026-08-25
688266,泽璟制药,沪市,半年报（中报）,2026,2026-08-01,,,,,2026-08-01
688313,仕佳光子,沪市,半年报（中报）,2026,2026-08-01,,,,,2026-08-01
301366,一博科技,深市,半年报（中报）,2026,2026-08-03,,,,,2026-08-03
603400,华之杰,沪市,半年报（中报）,2026,2026-08-03,,,,,2026-08-03
002577,雷柏科技,深市,半年报（中报）,2026,2026-08-04,,,,,2026-08-04
002657,中科金财,深市,半年报（中报）,2026,2026-08-04,,,,,2026-08-04
300284,苏交科,深市,半年报（中报）,2026,2026-08-04,,,,,2026-08-04
300298,三诺生物,深市,半年报（中报）,2026,2026-08-04,,,,,2026-08-04
300852,四会富仕,深市,半年报（中报）,2026,2026-08-04,,,,,2026-08-04
600201,生物股份,沪市,半年报（中报）,2026,2026-08-04,,,,,2026-08-04
603179,新泉股份,沪市,半年报（中报）,2026,2026-08-04,,,,,2026-08-04
603206,嘉环科技,沪市,半年报（中报）,2026,2026-08-04,,,,,2026-08-04
603259,药明康德,沪市,半年报（中报）,2026,2026-08-04,,,,,2026-08-04
603456,九洲药业,沪市,半年报（中报）,2026,2026-08-04,,,,,2026-08-04
603558,健盛集团,沪市,半年报（中报）,2026,2026-08-04,,,,,2026-08-04
002145,钛能化学,深市,半年报（中报）,2026,2026-08-05,,,,,2026-08-05
300471,厚普股份,深市,半年报（中报）,2026,2026-08-05,,,,,2026-08-05
300768,迪普科技,深市,半年报（中报）,2026,2026-08-05,,,,,2026-08-05
600595,中孚实业,沪市,半年报（中报）,2026,2026-08-05,,,,,2026-08-05
603063,禾望电气,沪市,半年报（中报）,2026,2026-08-05,,,,,2026-08-05
603606,东方电缆,沪市,半年报（中报）,2026,2026-08-05,,,,,2026-08-05
688216,气派科技,沪市,半年报（中报）,2026,2026-08-05,,,,,2026-08-05
688433,华曙高科,沪市,半年报（中报）,2026,2026-08-05,,,,,2026-08-05
300285,国瓷材料,深市,半年报（中报）,2026,2026-08-06,,,,,2026-08-06
300389,艾比森,深市,半年报（中报）,2026,2026-08-06,,,,,2026-08-06
600727,鲁北化工,沪市,半年报（中报）,2026,2026-08-06,,,,,2026-08-06
001376,百通能源,深市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
002372,伟星新材,深市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
002813,路畅科技,深市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
002852,道道全,深市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
300283,温州宏丰,深市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
300529,健帆生物,深市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
300947,德必集团,深市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
