date,company_count
2026-07-18,1
2026-07-21,1
2026-07-23,2
2026-07-25,2
2026-07-28,1
2026-07-29,1
2026-07-30,5
2026-07-31,13
2026-08-01,5
2026-08-03,1
2026-08-04,6
2026-08-05,5
2026-08-06,1
2026-08-07,5
2026-08-08,13
2026-08-10,3
2026-08-11,15
2026-08-12,15
2026-08-13,6
2026-08-14,21
2026-08-15,50
2026-08-17,6
2026-08-18,56
2026-08-19,35
2026-08-20,100
2026-08-21,98
2026-08-22,159
2026-08-24,5
2026-08-25,275
2026-08-26,302
2026-08-27,339
2026-08-28,267
2026-08-29,337
2026-08-31,167
